words,x,y
universities,30.870145797729492,-25.369884490966797
applying,11.894765853881836,35.76231384277344
mandatory,16.7967529296875,13.342623710632324
control,-4.394756317138672,45.88762664794922
chemicals,12.948295593261719,-22.249576568603516
short,-0.16765742003917694,-24.31939125061035
effort,4.439600944519043,59.010196685791016
save,-43.46061706542969,32.393348693847656
bucks,1.1123324632644653,-58.86576461791992
coalition,36.76130294799805,6.378656387329102
residents,19.70726776123047,-29.87416648864746
scientists,39.01707458496094,31.0736083984375
virginia,29.958024978637695,-44.825775146484375
tech,24.237581253051758,-29.760955810546875
michigan,29.023908615112305,-44.06804275512695
conducted,35.710426330566406,-25.0251522064209
testing,8.727117538452148,21.96881675720215
proved,19.341773986816406,29.641481399536133
higher,0.9777514338493347,-2.2365307807922363
poisoning,0.6684941649436951,-11.788326263427734
failure,-4.288943767547607,57.6566047668457
deliberate,-6.706620216369629,51.52236557006836
actions,1.5704442262649536,42.538631439208984
despite,22.540769577026367,6.882884502410889
though,-28.451078414916992,4.65622091293335
available,16.19021224975586,-26.801136016845703
obtained,-42.11087417602539,30.994070053100586
via,37.20384216308594,-46.93421936035156
request,24.550128936767578,-13.25539779663086
parent,-5.866203784942627,-17.33580207824707
instance,8.794143676757812,19.329273223876953
tests,10.591679573059082,32.50308609008789
march,29.612268447875977,-57.08294677734375
april,29.600069046020508,-56.98434829711914
sample,5.715584754943848,13.601664543151855
stem,-5.800535202026367,6.373600006103516
academy,36.50705337524414,-27.02484130859375
produced,7.328690528869629,15.46591854095459
contained,23.66749382019043,36.73172378540039
parts,23.02608299255371,50.37340545654297
billion,2.9228744506835938,-60.934242248535156
mott,26.3203067779541,-49.23981857299805
elementary,31.430442810058594,-27.00119972229004
high,1.3114356994628906,-3.715393543243408
holmes,46.10789489746094,-32.937740325927734
highest,-21.46484375,59.388607025146484
reading,31.437896728515625,38.69041442871094
came,19.210535049438477,-49.33576965332031
back,-22.585384368896484,-14.872465133666992
keep,-57.002708435058594,-16.001422882080078
mind,-13.00554084777832,52.5521354675293
level,21.555065155029297,0.47476354241371155
zero,20.646615982055664,-2.1125388145446777
action,26.834659576416016,12.798888206481934
so,47.497840881347656,27.376487731933594
yeah,-20.29442024230957,-7.305475234985352
scary,-18.606782913208008,-2.8330483436584473
scenario,5.8888983726501465,27.083337783813477
gets,-36.57133865356445,-17.924972534179688
consider,16.995906829833984,46.206512451171875
exposed,-24.467113494873047,11.652827262878418
admit,-4.717999458312988,34.520233154296875
truth,-48.71209716796875,33.275169372558594
alleged,23.89101791381836,-7.632285118103027
concealed,-25.121877670288086,25.69731330871582
charged,18.534780502319336,-11.243382453918457
multiple,21.245948791503906,-4.685908317565918
moreover,-37.27467346191406,17.35725975036621
scientist,53.350250244140625,-30.32583236694336
edwards,51.837989807128906,-33.33633041381836
pointed,22.060409545898438,28.267940521240234
press,53.92084503173828,-17.32376480102539
conference,35.84588623046875,-19.8138484954834
september,29.60369110107422,-57.00510787963867
biggest,25.04924201965332,20.510101318359375
concern,2.7908554077148438,54.84642791748047
knowing,-30.824337005615234,40.78954315185547
thanks,-37.416812896728516,46.32347106933594
work,9.324435234069824,-37.600730895996094
